race_id,date,venue,race_no,surface,distance,going,horse_ratings,prize,race_class,sec_time,win_combination
416,11/12/97,HV,2,0,1800,GOOD,40-10,485000,5,13.74,1
417,11/12/97,HV,3,0,1650,GOOD,60-40,625000,4,27.72,9
418,11/12/97,HV,4,0,1200,GOOD,80-60,850000,3,24.08,3
429,11/16/97,ST,7,0,1000,GOOD TO YIELDING,80-60,850000,3,13.24,13
430,11/16/97,ST,8,0,1200,GOOD TO YIELDING,80-60,850000,3,24.81,12
432,11/16/97,ST,10,0,1400,GOOD TO YIELDING,80-60,850000,3,13.55,4
433,11/16/97,ST,11,0,1400,GOOD TO YIELDING,100-80,1150000,2,13.74,6
434,11/19/97,ST,1,1,1200,GOOD,40-0,485000,5,23.2,7
435,11/19/97,ST,2,1,1200,GOOD,85-60,850000,3,23.05,7
436,11/19/97,ST,3,1,1200,GOOD,60-40,625000,4,23.67,4
437,11/19/97,ST,4,1,1650,GOOD,40-0,485000,5,28.25,13
438,11/19/97,ST,5,1,1200,GOOD,80-60,850000,3,23.45,5
439,11/19/97,ST,6,1,1650,GOOD,60-40,625000,4,27.39,5
440,11/19/97,ST,7,1,1650,GOOD,100-80,1150000,2,27.91,7
441,11/19/97,ST,8,1,1650,GOOD,80-60,850000,3,27.25,6
443,11/22/97,ST,2,0,1000,GOOD TO YIELDING,60-40,625000,4,13.84,1
444,11/22/97,ST,3,0,1200,GOOD TO YIELDING,60-40,625000,4,24.11,5
445,11/22/97,ST,4,0,1400,GOOD TO YIELDING,40-0,485000,5,13.67,9
446,11/22/97,ST,5,0,1400,GOOD TO YIELDING,60-40,625000,4,13.84,9
457,11/26/97,HV,6,0,1200,GOOD,80-60,850000,3,24.24,5
458,11/26/97,HV,7,0,1650,GOOD,80-60,850000,3,27.55,1
459,11/26/97,HV,8,0,1650,GOOD,105-80,1400000,1,27.58,1
470,12/3/97,HV,1,0,1650,GOOD,40-0,485000,5,27.72,11
471,12/3/97,HV,2,0,1000,GOOD,60-40,625000,4,13.16,4
472,12/3/97,HV,3,0,2200,GOOD,80-60,850000,3,14.16,8
479,12/7/97,ST,2,0,1200,GOOD,60-40,625000,4,24.56,12
480,12/7/97,ST,3,0,1200,GOOD,115-90,1750000,1,24.12,6
481,12/7/97,ST,4,0,1600,GOOD,60-40,625000,4,25.38,1
482,12/7/97,ST,5,0,1400,GOOD,40-10,485000,5,13.89,1
483,12/7/97,ST,6,0,1200,GOOD,80-60,850000,3,24.72,1
484,12/7/97,ST,7,0,1400,GOOD,60-40,625000,4,13.66,4
487,12/7/97,ST,10,0,1600,GOOD,80-60,850000,3,24.92,7
488,12/7/97,ST,11,0,1400,GOOD,80-60,850000,3,13.95,7
725,5/31/98,ST,1,0,1400,GOOD,40-15,485000,5,13.99,2
726,5/31/98,ST,2,0,1200,GOOD,40-15,485000,5,24.45,1
727,5/31/98,ST,3,0,1600,GOOD,60-40,625000,4,24.59,12
728,5/31/98,ST,4,0,1200,GOOD,120-95,1750000,1,23.38,11
729,5/31/98,ST,5,0,1200,GOOD,60-40,625000,4,24.05,9
740,6/3/98,HV,6,0,1200,GOOD,80-60,850000,3,24.06,2
741,6/3/98,HV,7,0,1650,GOOD,80-60,850000,3,27.27,10
742,6/3/98,HV,8,0,1200,GOOD,100-80,1150000,2,23.44,5
753,6/10/98,HV,1,0,1000,GOOD TO FIRM,40-15,485000,5,12.92,3
754,6/10/98,HV,2,0,1650,GOOD TO FIRM,40-15,485000,5,27.77,6
761,6/13/98,ST,1,1,1200,FAST,40-15,485000,5,23.78,4
762,6/13/98,ST,2,0,1200,GOOD,60-40,625000,4,24.25,2
763,6/13/98,ST,3,0,1200,GOOD,60-40,625000,4,24.16,1
764,6/13/98,ST,4,0,1400,GOOD,40-15,485000,5,13.91,2
765,6/13/98,ST,5,1,1650,FAST,60-40,625000,4,28.12,2
766,6/13/98,ST,6,0,1400,GOOD,60-40,625000,4,13.78,2
767,6/13/98,ST,7,0,1200,GOOD,100-80,1150000,2,24.06,8
768,6/13/98,ST,8,0,1200,GOOD,80-60,850000,3,24.05,8
769,6/13/98,ST,9,0,1400,GOOD,80-60,850000,3,13.74,11
770,6/13/98,ST,10,0,1200,GOOD,80-60,850000,3,23.92,10
779,6/18/98,HV,9,0,1400,GOOD,80-60,850000,3,13.52,14
780,6/18/98,HV,10,0,1600,GOOD,105-80,1400000,1,24.52,8
781,6/21/98,ST,1,0,1800,GOOD TO FIRM,60-40,625000,4,14.05,2
782,6/21/98,ST,2,0,1400,GOOD TO FIRM,40-15,485000,5,13.78,12
783,6/21/98,ST,3,0,1800,GOOD TO FIRM,85-60,850000,3,14.17,3
784,6/21/98,ST,4,1,1200,GOOD,60-40,625000,4,23.84,4
785,6/21/98,ST,5,0,1400,GOOD TO FIRM,60-40,625000,4,13.64,2
786,6/21/98,ST,6,1,1200,GOOD,80-60,850000,3,23.42,10
787,6/21/98,ST,7,0,1200,GOOD TO FIRM,80-60,850000,3,24.09,3
789,6/21/98,ST,9,1,1200,GOOD,100-80,1150000,2,23.61,4
790,6/21/98,ST,10,0,1400,GOOD TO FIRM,100-80,1150000,2,13.69,5
791,6/24/98,HV,1,0,1650,GOOD,40-10,485000,5,27.77,9
792,6/24/98,HV,2,0,1650,GOOD,60-40,625000,4,27.31,7
793,6/24/98,HV,3,0,1200,GOOD TO FIRM,60-40,625000,4,23.83,1
799,6/28/98,ST,1,0,1600,GOOD TO FIRM,40-15,485000,5,24.58,12
807,6/28/98,ST,9,0,1200,GOOD,100-80,1150000,2,23.94,10
808,6/28/98,ST,10,0,1400,GOOD,80-60,850000,3,13.61,7
815,7/1/98,HV,7,0,1800,GOOD TO FIRM,80-60,850000,3,13.67,1
