Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/14/08,9,1
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/28/08,41,1
Royal Challengers Bangalore,Rajasthan Royals,by runs,field,India,Rajasthan Royals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/15/08,12,1
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/16/08,8,1
Royal Challengers Bangalore,Delhi Daredevils,by runs,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Delhi,Feroz Shah Kotla,5/17/08,6,1
Kings XI Punjab,Mumbai Indians,by runs,field,India,Mumbai Indians,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/17/08,65,1
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/08,25,1
Chennai Super Kings,Kolkatta Knight Riders,by runs,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Kolkata,Eden Gardens,5/18/08,3,1
Mumbai Indians,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,5/19/08,5,1
Chennai Super Kings,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Kolkata,Eden Gardens,5/20/08,6,1
Sunrisers Hyderabad,Delhi Daredevils,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Mumbai,Wankhede Stadium,5/21/08,1,1
Kolkatta Knight Riders,Mumbai Indians,by runs,bat,India,Mumbai Indians,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",5/21/08,14,1
Delhi Daredevils,Rajasthan Royals,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/23/08,6,1
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/24/08,5,1
Kolkatta Knight Riders,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Chennai,"MA Chidambaram Stadium, Chepauk",5/24/08,10,1
Mumbai Indians,Rajasthan Royals,by runs,field,India,Rajasthan Royals,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/3/08,3,1
Chennai Super Kings,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Chennai Super Kings,Kolkata,Eden Gardens,5/25/08,3,1
Kings XI Punjab,Sunrisers Hyderabad,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/26/08,5,1
