Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Rajasthan Royals,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Rajasthan Royals ,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",4/10/10,6,3
Mumbai Indians,Chennai Super Kings,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/10/10,7,3
Royal Challengers Bangalore,Delhi Daredevils,by wickets,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Delhi,Feroz Shah Kotla,4/11/10,7,3
Kings XI Punjab,Sunrisers Hyderabad,by runs,field,India,Kings XI Punjab,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,4/11/10,37,3
Rajasthan Royals,Mumbai Indians,by runs,field,India,Mumbai Indians,Rajasthan Royals ,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",4/12/10,13,3
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,4/13/10,39,3
Kolkatta Knight Riders,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/13/10,9,3
Kings XI Punjab,Mumbai Indians,by wickets,bat,India,Kings XI Punjab,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,4/14/10,5,3
Kolkatta Knight Riders,Royal Challengers Bangalore,by wickets,bat,India,Kolkatta Knight Riders,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",4/15/10,6,3
Delhi Daredevils,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Dharamsala,Himachal Pradesh Cricket Association Stadium,4/16/10,5,3
Mumbai Indians,Sunrisers Hyderabad,by runs,field,India,Mumbai Indians,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,4/17/10,57,3
Chennai Super Kings,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Chennai Super Kings,Kolkata,Eden Gardens,4/17/10,8,3
Delhi Daredevils,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Dharamsala,Himachal Pradesh Cricket Association Stadium,4/18/10,6,3
Royal Challengers Bangalore,Rajasthan Royals,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Delhi,Feroz Shah Kotla,4/18/10,11,3
Chennai Super Kings,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Chennai Super Kings,Kolkata,Eden Gardens,4/19/10,9,3
Mumbai Indians,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,4/21/10,35,3
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Mumbai,Dr DY Patil Sports Academy,4/22/10,38,3
Mumbai Indians,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,4/24/10,9,3
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Mumbai,Dr DY Patil Sports Academy,4/25/10,22,3
Kolkatta Knight Riders,Chennai Super Kings,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/8/11,2,4
Rajasthan Royals,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/9/11,8,4
Kochi Tuskers,Mumbai Indians,by wickets,bat,India,Kochi Tuskers,Mumbai Indians,Kochi,Nehru Stadium,4/9/11,6,4
Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,bat,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,4/10/11,8,4
Gujarat Lions,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Gujarat Lion,Mumbai,Dr DY Patil Sports Academy,4/10/11,7,4
Chennai Super Kings,Rajasthan Royals,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/11/11,9,4
Kings XI Punjab,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/12/11,6,4
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,4/12/11,9,4
Delhi Daredevils,Kolkatta Knight Riders,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/13/11,6,4
Gujarat Lions,Kochi Tuskers,by wickets,bat,India,Kochi Tuskers,Gujarat Lion,Mumbai,Dr DY Patil Sports Academy,4/13/11,4,4
Rajasthan Royals,Mumbai Indians,by runs,field,India,Mumbai Indians,Rajasthan Royals ,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/14/11,33,4
Kings XI Punjab,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,4/15/11,9,4
Sunrisers Hyderabad,Kochi Tuskers,by wickets,field,India,Kochi Tuskers,Kochi Tuskers,Mumbai,Wankhede Stadium,4/15/11,8,4
Kolkatta Knight Riders,Mumbai Indians,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/16/11,21,4
Rajasthan Royals,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/16/11,8,4
Gujarat Lions,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai,Dr DY Patil Sports Academy,4/17/11,3,4
Chennai Super Kings,Kings XI Punjab,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/17/11,8,4
Kochi Tuskers,Kolkatta Knight Riders,by wickets,field,India,Kochi Tuskers,Kochi Tuskers,Kochi,Nehru Stadium,4/18/11,7,4
Royal Challengers Bangalore,Rajasthan Royals,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Delhi,Feroz Shah Kotla,4/19/11,16,4
Sunrisers Hyderabad,Gujarat Lion,by wickets,bat,India,Gujarat Lion,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/20/11,7,4
Chennai Super Kings,Kochi Tuskers,by runs,field,India,Chennai Super Kings,Kochi Tuskers,Kolkata,Eden Gardens,4/20/11,6,4
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/21/11,48,4
Sunrisers Hyderabad,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/22/11,8,4
Chennai Super Kings,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Kolkata,Eden Gardens,4/22/11,9,4
Royal Challengers Bangalore,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/23/11,29,4
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/24/11,37,4
Kings XI Punjab,Kochi Tuskers,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/24/11,8,4
Kolkatta Knight Riders,Gujarat Lion,by runs,field,India,Gujarat Lion,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/25/11,25,4
Royal Challengers Bangalore,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Delhi,Feroz Shah Kotla,4/26/11,3,4
Gujarat Lions,Kolkatta Knight Riders,by wickets,bat,India,Gujarat Lion,Kolkatta Knight Riders,Mumbai,Dr DY Patil Sports Academy,4/27/11,8,4
Kochi Tuskers,Rajasthan Royals,by runs,field,India,Kochi Tuskers,Rajasthan Royals ,Kochi,Nehru Stadium,4/27/11,55,4
Royal Challengers Bangalore,Chennai Super Kings,by runs,field,India,Royal Challengers Bangalore,Chennai Super Kings,Delhi,Feroz Shah Kotla,4/28/11,17,4
Kings XI Punjab,Sunrisers Hyderabad,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/29/11,7,4
Mumbai Indians,Gujarat Lion,by runs,field,India,Gujarat Lion,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/29/11,26,4
Kochi Tuskers,Royal Challengers Bangalore,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Kochi,Nehru Stadium,4/30/11,38,4
Chennai Super Kings,Delhi Daredevils,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/30/11,8,4
Kings XI Punjab,Gujarat Lion,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/1/11,6,4
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/1/11,19,4
Sunrisers Hyderabad,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/2/11,23,4
Royal Challengers Bangalore,Kochi Tuskers,by wickets,field,India,Kochi Tuskers,Kochi Tuskers,Delhi,Feroz Shah Kotla,5/2/11,7,4
Rajasthan Royals,Chennai Super Kings,by runs,field,India,Rajasthan Royals,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/3/11,20,4
Kolkatta Knight Riders,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/4/11,8,4
Gujarat Lions,Sunrisers Hyderabad,by runs,field,India,Gujarat Lion,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,5/4/11,21,4
Kochi Tuskers,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kochi Tuskers,Kochi,Nehru Stadium,5/5/11,17,4
Rajasthan Royals,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/5/11,4,4
Mumbai Indians,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/6/11,85,4
Chennai Super Kings,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,5/7/11,10,4
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/7/11,32,4
Mumbai Indians,Kochi Tuskers,by wickets,bat,India,Kochi Tuskers,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/8/11,9,4
Delhi Daredevils,Gujarat Lion,by wickets,bat,India,Delhi Daredevils,Gujarat Lion,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/8/11,5,4
Kings XI Punjab,Kolkatta Knight Riders,by runs,field,India,Kings XI Punjab,Kolkatta Knight Riders,Jaipur,Sawai Mansingh Stadium,5/9/11,63,4
Rajasthan Royals,Gujarat Lion,by wickets,bat,India,Rajasthan Royals,Gujarat Lion,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/10/11,6,4
Delhi Daredevils,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/10/11,76,4
Kings XI Punjab,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,5/11/11,9,4
Kolkatta Knight Riders,Royal Challengers Bangalore,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/12/11,18,4
Kochi Tuskers,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Indore,Holkar Cricket Stadium,5/13/11,6,4
Mumbai Indians,Chennai Super Kings,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/14/11,4,4
Sunrisers Hyderabad,Rajasthan Royals,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Mumbai,Wankhede Stadium,5/14/11,10,4
Delhi Daredevils,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/15/11,29,4
Kochi Tuskers,Kings XI Punjab,by wickets,field,India,Kochi Tuskers,Kochi Tuskers,Indore,Holkar Cricket Stadium,5/15/11,8,4
Gujarat Lions,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Mumbai,Dr DY Patil Sports Academy,5/16/11,6,4
Delhi Daredevils,Mumbai Indians,by runs,bat,India,Delhi Daredevils,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/17/11,111,4
Kolkatta Knight Riders,Kochi Tuskers,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/18/11,11,4
Gujarat Lions,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Mumbai,Dr DY Patil Sports Academy,5/19/11,7,4
Sunrisers Hyderabad,Kings XI Punjab,by wickets,bat,India,Sunrisers Hyderabad,Kings XI Punjab,Mumbai,Wankhede Stadium,5/20/11,10,4
Delhi Daredevils,Rajasthan Royals,by runs,field,India,Delhi Daredevils,Rajasthan Royals ,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/21/11,82,4
Mumbai Indians,Kolkatta Knight Riders,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/22/11,8,4
Chennai Super Kings,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/22/11,5,4
Mumbai Indians,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Mumbai,Wankhede Stadium,5/24/11,6,4
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/25/11,4,4
Mumbai Indians,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",5/27/11,43,4
Kolkatta Knight Riders,Mumbai Indians,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/28/11,58,4
Kolkatta Knight Riders,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk",4/4/12,8,5
Chennai Super Kings,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata,Eden Gardens,4/5/12,8,5
Sunrisers Hyderabad,Gujarat Lion,by runs,field,India,Sunrisers Hyderabad,Gujarat Lion,Mumbai,Wankhede Stadium,4/6/12,28,5
Kings XI Punjab,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/6/12,31,5
Mumbai Indians,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/7/12,20,5
Rajasthan Royals,Kolkatta Knight Riders,by runs,field,India,Rajasthan Royals,Kolkatta Knight Riders,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4/7/12,74,5
Kings XI Punjab,Chennai Super Kings,by runs,field,India,Chennai Super Kings,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/8/12,22,5
Gujarat Lions,Delhi Daredevils,by runs,bat,India,Gujarat Lion,Gujarat Lion,Pune,Subrata Roy Sahara Stadium,4/8/12,22,5
Rajasthan Royals,Sunrisers Hyderabad,by wickets,bat,India,Rajasthan Royals,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4/9/12,5,5
Mumbai Indians,Chennai Super Kings,by runs,field,India,Mumbai Indians,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,4/10/12,42,5
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/10/12,8,5
Sunrisers Hyderabad,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/11/12,27,5
Kolkatta Knight Riders,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/12/12,5,5
Delhi Daredevils,Gujarat Lion,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/12/12,7,5
Chennai Super Kings,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Chennai Super Kings,Kolkata,Eden Gardens,4/13/12,5,5
Royal Challengers Bangalore,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/19/12,5,5
Gujarat Lions,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Gujarat Lion,Pune,Subrata Roy Sahara Stadium,4/14/12,7,5
Chennai Super Kings,Delhi Daredevils,by runs,field,India,Chennai Super Kings,Delhi Daredevils,Kolkata,Eden Gardens,4/15/12,2,5
Mumbai Indians,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,4/15/12,59,5
Sunrisers Hyderabad,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,4/16/12,7,5
Kings XI Punjab,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/17/12,5,5
Mumbai Indians,Gujarat Lion,by wickets,bat,India,Gujarat Lion,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,4/17/12,6,5
Delhi Daredevils,Chennai Super Kings,by wickets,bat,India,Delhi Daredevils,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/18/12,8,5
Rajasthan Royals,Royal Challengers Bangalore,by wickets,bat,India,Rajasthan Royals,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/10/12,9,5
Kolkatta Knight Riders,Gujarat Lion,by runs,field,India,Gujarat Lion,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/19/12,13,5
Delhi Daredevils,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/20/12,5,5
Kolkatta Knight Riders,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/21/12,7,5
Royal Challengers Bangalore,Gujarat Lion,by runs,field,India,Royal Challengers Bangalore,Gujarat Lion,Delhi,Feroz Shah Kotla,4/21/12,20,5
Sunrisers Hyderabad,Delhi Daredevils,by wickets,bat,India,Sunrisers Hyderabad,Delhi Daredevils,Mumbai,Wankhede Stadium,4/22/12,6,5
Rajasthan Royals,Chennai Super Kings,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Cuttack,Barabati Stadium,4/22/12,5,5
Kings XI Punjab,Mumbai Indians,by runs,field,India,Kings XI Punjab,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,4/23/12,46,5
Gujarat Lions,Royal Challengers Bangalore,by wickets,bat,India,Gujarat Lion,Royal Challengers Bangalore,Pune,Subrata Roy Sahara Stadium,4/24/12,8,5
Delhi Daredevils,Sunrisers Hyderabad,by wickets,bat,India,Delhi Daredevils,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/25/12,4,5
Gujarat Lions,Rajasthan Royals,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Pune,Subrata Roy Sahara Stadium,4/26/12,18,5
Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/27/12,37,5
Kolkatta Knight Riders,Delhi Daredevils,by runs,bat,India,Delhi Daredevils,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",4/28/12,7,5
Chennai Super Kings,Mumbai Indians,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/28/12,47,5
Royal Challengers Bangalore,Kings XI Punjab,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/29/12,1,5
Sunrisers Hyderabad,Rajasthan Royals,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,4/29/12,5,5
Kolkatta Knight Riders,Chennai Super Kings,by wickets,bat,India,Kolkatta Knight Riders,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk",4/30/12,5,5
Rajasthan Royals,Gujarat Lion,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Cuttack,Barabati Stadium,5/1/12,13,5
Kings XI Punjab,Royal Challengers Bangalore,by wickets,bat,India,Kings XI Punjab,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,5/1/12,6,5
Mumbai Indians,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/2/12,4,5
Gujarat Lions,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Pune,Subrata Roy Sahara Stadium,5/3/12,1,5
Kolkatta Knight Riders,Rajasthan Royals,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/4/12,10,5
Chennai Super Kings,Gujarat Lion,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/5/12,7,5
Delhi Daredevils,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/5/12,43,5
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/6/12,2,5
Mumbai Indians,Rajasthan Royals,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,5/6/12,5,5
Royal Challengers Bangalore,Chennai Super Kings,by wickets,bat,India,Royal Challengers Bangalore,Chennai Super Kings,Delhi,Feroz Shah Kotla,5/7/12,6,5
Gujarat Lions,Kings XI Punjab,by wickets,bat,India,Gujarat Lion,Kings XI Punjab,Pune,Subrata Roy Sahara Stadium,5/8/12,7,5
Rajasthan Royals,Delhi Daredevils,by runs,field,India,Rajasthan Royals,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/8/12,25,5
Sunrisers Hyderabad,Mumbai Indians,by wickets,field,India,Mumbai Indians,Mumbai Indians,Mumbai,Wankhede Stadium,5/9/12,9,5
Kings XI Punjab,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Jaipur,Sawai Mansingh Stadium,5/10/12,4,5
Gujarat Lions,Mumbai Indians,by runs,field,India,Gujarat Lion,Mumbai Indians,Pune,Subrata Roy Sahara Stadium,5/11/12,35,5
Chennai Super Kings,Sunrisers Hyderabad,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Eden Gardens,5/12/12,27,5
Kolkatta Knight Riders,Royal Challengers Bangalore,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/12/12,9,5
Kings XI Punjab,Gujarat Lion,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/13/12,45,5
Delhi Daredevils,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/13/12,4,5
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,5/14/12,5,5
Chennai Super Kings,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Kolkata,Eden Gardens,5/14/12,5,5
Royal Challengers Bangalore,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/15/12,5,5
Sunrisers Hyderabad,Chennai Super Kings,by runs,field,India,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,5/16/12,32,5
Delhi Daredevils,Kolkatta Knight Riders,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/17/12,6,5
Royal Challengers Bangalore,Mumbai Indians,by runs,field,India,Royal Challengers Bangalore,Mumbai Indians,Delhi,Feroz Shah Kotla,5/17/12,21,5
Rajasthan Royals,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Rajasthan Royals ,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/12,5,5
Delhi Daredevils,Royal Challengers Bangalore,by wickets,field,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Dharamsala,Himachal Pradesh Cricket Association Stadium,5/19/12,6,5
Gujarat Lions,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,5/19/12,34,5
Rajasthan Royals,Mumbai Indians,by runs,field,India,Mumbai Indians,Rajasthan Royals ,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/20/12,9,5
Kings XI Punjab,Sunrisers Hyderabad,by wickets,bat,India,Kings XI Punjab,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,5/20/12,10,5
Royal Challengers Bangalore,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,5/22/12,18,5
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,5/23/12,38,5
Royal Challengers Bangalore,Kolkatta Knight Riders,by runs,field,India,Royal Challengers Bangalore,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/25/12,86,5
Chennai Super Kings,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk",5/27/12,5,5
Chennai Super Kings,Royal Challengers Bangalore,by wickets,field,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/3/13,6,6
