Season,City,Country,Year,Month,Distance,Round,Nationality,Rank_In_Group,Qualification,Time,Start_Position
2016/2017,Shanghai,CHN,2016,12,1000m,Quarterfinals,KAZ,2,Q,41.178,2
2016/2017,Shanghai,CHN,2016,12,1000m,Semifinals,KAZ,3,QB,40.755,3
2016/2017,Shanghai,CHN,2016,12,800m,Semifinals,KAZ,3,QB,41.572,4
2016/2017,Shanghai,CHN,2016,12,800m,Quarterfinals,KAZ,2,Q,41.285,3
2016/2017,Shanghai,CHN,2016,12,800m,Semifinals,KAZ,2,QA,41.529,2
2016/2017,Calgary,CAN,2016,11,800m,Semifinals,KAZ,2,QA,40.93,4
2016/2017,Calgary,CAN,2016,11,1000m,Quarterfinals,KAZ,2,Q,40.948,1
2016/2017,Shanghai,CHN,2016,12,800m,Quarterfinals,KAZ,1,Q,40.915,1
2016/2017,Shanghai,CHN,2016,12,1000m,Quarterfinals,KAZ,1,Q,41.041,1
2016/2017,Calgary,CAN,2016,11,800m,Quarterfinals,KAZ,1,Q,41.087,4
2016/2017,Shanghai,CHN,2016,12,1000m,Semifinals,KAZ,4,QB,66.114,1
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,GBR,2,Q,43.594,3
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,GBR,2,Q,41.725,2
2016/2017,Shanghai,CHN,2016,12,1000m,RepHeats,HUN,3,Q,43.036,4
2016/2017,Calgary,CAN,2016,11,1000m,RepQuarterfinals,BEL,2,Q,42.753,3
2016/2017,Calgary,CAN,2016,11,1000m,RepHeats,BEL,3,Q,42.61,2
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,BEL,3,Q,42.366,3
2016/2017,Calgary,CAN,2016,11,800m,RepQuarterfinals,BEL,2,Q,43.976,3
2016/2017,Shanghai,CHN,2016,12,800m,RepQuarterfinals,AUS,2,Q,44.617,1
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,AUS,3,Q,42.264,2
2016/2017,Calgary,CAN,2016,11,1000m,RepQuarterfinals,SWE,2,Q,42.533,1
2016/2017,Calgary,CAN,2016,11,1000m,RepHeats,SWE,3,Q,41.866,4
2016/2017,Calgary,CAN,2016,11,800m,RepQuarterfinals,FRA,2,Q,42.061,4
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,FRA,1,Q,42.642,1
2016/2017,Calgary,CAN,2016,11,1000m,RepHeats,FRA,1,Q,42.747,2
2016/2017,Shanghai,CHN,2016,12,1000m,RepHeats,FRA,1,Q,42.523,1
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,FRA,2,Q,42.861,2
2016/2017,Calgary,CAN,2016,11,1000m,RepQuarterfinals,FRA,2,Q,41.668,3
2016/2017,Shanghai,CHN,2016,12,1000m,RepQuarterfinals,FRA,1,Q,42.35,3
2016/2017,Calgary,CAN,2016,11,1000m,RepHeats,NZL,3,ADV,44.109,4
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,SWE,1,Q,42.534,2
2016/2017,Calgary,CAN,2016,11,800m,Quarterfinals,RUS,2,Q,40.978,2
2016/2017,Calgary,CAN,2016,11,800m,Semifinals,RUS,2,QA,40.851,3
2016/2017,Shanghai,CHN,2016,12,800m,Quarterfinals,RUS,1,Q,40.847,2
2016/2017,Shanghai,CHN,2016,12,800m,Semifinals,RUS,1,QA,41.477,1
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,AUS,3,Q,43.52,4
2016/2017,Shanghai,CHN,2016,12,1000m,RepHeats,KAZ,2,Q,42.941,3
2016/2017,Shanghai,CHN,2016,12,1000m,RepQuarterfinals,KAZ,2,Q,42.191,3
2016/2017,Shanghai,CHN,2016,12,800m,Semifinals,KOR,4,QB,41.682,3
2016/2017,Shanghai,CHN,2016,12,800m,Quarterfinals,KOR,2,Q,41.072,3
2016/2017,Calgary,CAN,2016,11,1000m,Heats,KOR,1,Q,41.486,1
2016/2017,Shanghai,CHN,2016,12,800m,Heats,KOR,2,Q,42.159,2
2016/2017,Calgary,CAN,2016,11,1000m,RepQuarterfinals,KOR,1,Q,42.109,1
2016/2017,Shanghai,CHN,2016,12,800m,RepQuarterfinals,KOR,1,Q,43.005,1
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,KOR,1,Q,42.538,1
2016/2017,Calgary,CAN,2016,11,1000m,RepHeats,KOR,1,Q,42.09,1
2016/2017,Calgary,CAN,2016,11,800m,Heats,KOR,1,Q,41.58,3
2016/2017,Calgary,CAN,2016,11,1000m,RepSemifinals,KOR,1,Q,41.741,2
2016/2017,Shanghai,CHN,2016,12,800m,RepSemifinals,KOR,1,Q,40.988,3
2016/2017,Calgary,CAN,2016,11,800m,Quarterfinals,KOR,1,Q,40.731,3
2016/2017,Calgary,CAN,2016,11,800m,Heats,KOR,1,Q,41.463,4
2016/2017,Calgary,CAN,2016,11,800m,Quarterfinals,KOR,2,Q,40.923,2
2016/2017,Calgary,CAN,2016,11,800m,Semifinals,KOR,4,QB,41.384,3
2016/2017,Shanghai,CHN,2016,12,1000m,RepHeats,KOR,3,Q,42.303,4
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,CHN,1,Q,41.464,1
2016/2017,Shanghai,CHN,2016,12,800m,RepQuarterfinals,CHN,1,Q,41.476,1
2016/2017,Shanghai,CHN,2016,12,800m,RepSemifinals,CHN,1,Q,41.98,1
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,FRA,3,Q,42.676,2
2016/2017,Shanghai,CHN,2016,12,800m,RepHeats,GER,3,Q,43.123,4
2016/2017,Shanghai,CHN,2016,12,1000m,RepQuarterfinals,JPN,2,Q,42.623,1
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,NED,1,Q,41.698,1
2016/2017,Calgary,CAN,2016,11,800m,RepSemifinals,NED,1,Q,41.791,2
2016/2017,Shanghai,CHN,2016,12,1000m,Heats,NED,2,Q,42.175,2
2016/2017,Calgary,CAN,2016,11,1000m,Heats,NED,2,ADV,47.382,4
2016/2017,Calgary,CAN,2016,11,800m,RepQuarterfinals,NED,1,Q,42.105,1
2016/2017,Calgary,CAN,2016,11,800m,RepHeats,CHN,1,Q,42.111,2
2016/2017,Calgary,CAN,2016,11,1000m,Quarterfinals,CHN,2,Q,41.224,4
2016/2017,Calgary,CAN,2016,11,1000m,Heats,CHN,2,Q,42.028,1
2016/2017,Calgary,CAN,2016,11,800m,RepSemifinals,CHN,1,Q,41.628,1
2016/2017,Calgary,CAN,2016,11,800m,RepQuarterfinals,CHN,1,Q,41.975,1
2016/2017,Calgary,CAN,2016,11,1000m,Semifinals,CHN,3,QB,41.144,4
2016/2017,Shanghai,CHN,2016,12,800m,Quarterfinals,POL,2,Q,41.221,4
2016/2017,Shanghai,CHN,2016,12,800m,Heats,POL,2,Q,41.859,4
2016/2017,Shanghai,CHN,2016,12,800m,Semifinals,POL,4,QB,41.797,4
2016/2017,Shanghai,CHN,2016,12,800m,Heats,RUS,2,Q,42.259,4
2016/2017,Shanghai,CHN,2016,12,1000m,RepHeats,RUS,2,Q,42.449,2
2016/2017,Shanghai,CHN,2016,12,1000m,RepSemifinals,RUS,1,Q,42.127,1
2016/2017,Shanghai,CHN,2016,12,1000m,RepQuarterfinals,RUS,1,Q,41.555,2
